parent_name,name,created_at,updated_at,categoryPath,include_in_menu,description,meta_keywords,meta_description,custom_layout_update,is_active,landing_page,is_anchor,custom_use_parent_settings,custom_apply_to_products,image,meta_title,display_mode,url_key
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Default Category,Cycling,2012-08-08 08:51:33,2018-05-08 12:44:34,Root Catalog/Root Catalog Migrated/Cycling,1,,,,,1,,0,,1,,,PRODUCTS,cycling
Default Category,Samurai Sportswear,2012-08-08 09:28:43,2019-11-21 12:06:44,Root Catalog/Root Catalog Migrated/Samurai Sportswear,1,,Samurai Sportswear,Samurai Sportswear,,1,,0,,1,,Samurai Sportswear,PRODUCTS,samurai
Default Category,Schools & Clubs,2015-10-11 07:04:47,2020-05-21 11:19:24,Root Catalog/Root Catalog Migrated/Schools & Clubs,0,,,,,0,,0,,1,,Schools & Clubs,PAGE,schools
Default Category,Kit Designer,2015-12-28 12:35:26,2018-01-02 03:48:34,Root Catalog/Root Catalog Migrated/Kit Designer,1,,,,,0,,0,,1,,,PRODUCTS,kitdesigner
Default Category,BeSpoke,2016-02-23 08:26:37,2016-02-23 08:31:49,Root Catalog/Root Catalog Migrated/BeSpoke,1,,,,,1,,0,,1,,BeSpoke,PRODUCTS,bespoke
Default Category,Sale,2016-04-04 05:36:36,2020-03-08 09:21:02,Root Catalog/Root Catalog Migrated/Sale,1,,,,,1,,0,,1,sale-56.jpg,Sale,PRODUCTS,sale
,,,,,,,,,,,,,,,,,,
Default Category,B2B,2016-08-28 07:24:12,2017-02-28 11:02:46,Root Catalog/Root Catalog Migrated/B2B,0,,,,,0,,0,,1,,,PRODUCTS,test
Default Category,Havaianas,2017-01-24 11:54:33,2018-06-05 05:04:28,Root Catalog/Root Catalog Migrated/Havaianas,1,,,,,1,,0,,1,Havaianasbanner.png,Havaianas,PRODUCTS,havaianas
Samurai Sportswear,Rugby,2012-08-08 09:29:10,2019-01-16 08:38:05,Root Catalog/Root Catalog Migrated/Samurai Sportswear/Rugby,1,,Rugby,Rugby,,1,,0,,1,Samurai_Rugbybanner_1.jpg,Rugby,PRODUCTS,rugby
Samurai Sportswear,Hockey,2015-09-20 08:54:15,2019-11-21 12:06:55,Root Catalog/Root Catalog Migrated/Samurai Sportswear/Hockey,1,,,,,1,,0,,1,Samurai_Hockey2_1.jpg,Samurai | Hockey,PRODUCTS,hockey
Samurai Sportswear,Netball,2015-09-20 09:00:06,2019-11-21 12:06:54,Root Catalog/Root Catalog Migrated/Samurai Sportswear/Netball,1,,,,,1,,0,,1,Samurai_NetballbannerImage_1.jpg,Samurai | Netball,PRODUCTS,netball
Samurai Sportswear,Cricket,2015-09-20 09:00:34,2019-11-21 12:06:55,Root Catalog/Root Catalog Migrated/Samurai Sportswear/Cricket,1,,,,,1,,0,,0,Samurai_CricketBanner2_1.jpg,Samurai | Cricket,PRODUCTS,cricket
Samurai Sportswear,Leisurewear,2015-10-01 08:08:24,2018-05-14 10:56:29,Root Catalog/Root Catalog Migrated/Samurai Sportswear/Leisurewear,1,,,,,1,,0,,1,,Leisurewear,PRODUCTS,leisurewear
