category_name,product_sku,position
Cycling,2-STK-JYSS-M-BALM-BLK,6
"Fat Lad At The Back",2-STK-JYSS-M-BALM-BLK,3
"Samurai Sportswear",1-STK-2-891126-BLK-0,47
Rugby,1-STK-2-891126-BLK-0,40
Accessories,1-STK-2-891126-BLK-0,21
"Samurai Sportswear",1-STK-4-651791-BLK-0,300
Accessories,1-STK-4-651791-BLK-0,26
"Samurai Sportswear",1-STK-3-621106-FLG-1LTR,300
Accessories,1-STK-3-621106-FLG-1LTR,36
"Samurai Sportswear",1-STK-HOOPERBAG-BLK-0,300
Accessories,1-STK-HOOPERBAG-BLK-0,28
"Samurai Sportswear",1-STK-4-65180508-BLK/GRY-0,300
Accessories,1-STK-4-65180508-BLK/GRY-0,32
"Samurai Sportswear",1-STK-4-65180708-BLK-0,300
Accessories,1-STK-4-65180708-BLK-0,23
"Samurai Sportswear",1-STK-4-651889-BLK-0,300
Accessories,1-STK-4-651889-BLK-0,27
Cycling,2-STK-JYSS-M-BOBY-WHT,5
"Fat Lad At The Back",2-STK-JYSS-M-BOBY-WHT,4
Cycling,2-STK-JYSS-M-BELLY-YLW,7
"Fat Lad At The Back",2-STK-JYSS-M-BELLY-YLW,9
"Schools & Clubs",1-REP-SWI-JAM002-NVY/YLW-JNR,0
"Schools & Clubs",1-REP-SWI-JAM002-NVY/YLW-XSB,0
"Schools & Clubs",1-REP-SWI-JAM002-NVY/YLW-SB,0
"Schools & Clubs",1-REP-SWI-JAM002,0
Repton,1-REP-SWI-JAM002,2
"Schools & Clubs",1-REP-SWI-PRO002-NVY/YLW-CHD,0
"Schools & Clubs",1-REP-SWI-PRO002-NVY/YLW-JNR,0
"Schools & Clubs",1-REP-SWI-PRO002-NVY/YLW-XSG,0
"Schools & Clubs",1-REP-SWI-PRO002-NVY/YLW-SG,0
"Schools & Clubs",1-REP-SWI-PRO002,0
Repton,1-REP-SWI-PRO002,1
"Schools & Clubs",1-REP-TEE-RED-BES-NVY/YLW-JNR,0
"Schools & Clubs",1-REP-TEE-RED-BES-NVY/YLW-XSB,0
"Schools & Clubs",1-REP-TEE-RED-BES-NVY/YLW-SB,0
"Schools & Clubs",1-REP-TEE-RED-BES-NVY/YLW-MB,0
"Schools & Clubs",1-REP-TEE-RED-BES,0
"Schools & Clubs",1-SMP-SWI-JAM002-NVY/YLW-SB,0
"Schools & Clubs",1-SMP-SWI-PRO002-NVY/YLW-8,0
Jess_Primary,1-JES-TEE-CLUB-BES-WHT/RB,2
"Samurai Sportswear",1-STK-1-640017-WHT-3,26
Accessories,1-STK-1-640017-WHT-3,3
Balls,1-STK-1-640017-WHT-3,0
"Samurai Sportswear",1-STK-1-640018-WHT-4,27
Accessories,1-STK-1-640018-WHT-4,4
Balls,1-STK-1-640018-WHT-4,0
"American Academy",1-AAA-SWI-JAM001-PUR-CHD,0
"American Academy",1-AAA-SWI-JAM001-PUR-JNR,0
"American Academy",1-AAA-SWI-JAM001-PUR-SB,0
"American Academy",1-AAA-SWI-JAM001-PUR-XSB,0
"American Academy",1-AAA-HOC-SHO004-PUR-CHD,0
"American Academy",1-AAA-HOC-SHO004-PUR-JNR,0
"American Academy",1-AAA-HOC-SHO004-PUR-MG,0
"American Academy",1-AAA-HOC-SHO004-PUR-SG,0
"American Academy",1-AAA-HOC-SHO004-PUR-10,0
"American Academy",1-AAA-HOC-SHO004-PUR-12,0
"American Academy",1-AAA-HOC-SHO004-PUR-14,0
"American Academy",1-AAA-HOC-SHO004-PUR-6,0
"American Academy",1-AAA-HOC-SHO004-PUR-8,0
"American Academy",1-AAA-HOC-SHO004-PUR-XSG,0
"American Academy",1-AAA-SWI-PRO001-PUR-CHD,0
"American Academy",1-AAA-TOP-UND-BES001-PUR-S,0
"American Academy",1-AAA-SWI-PRO001-PUR-MG,0
"American Academy",1-AAA-SWI-ONE001-BLK-MG,0
"American Academy",1-AAA-SWI-ONE001-BLK-12,0
"American Academy",1-AAA-SWI-ONE001-BLK-6,0
"American Academy",1-AAA-SWI-ONE001-BLK-8,0
"American Academy",1-AAA-SWI-ONE001-BLK-XSG,0
"American Academy",1-AAA-TOP-UND-BES002-PUR-M,0
"American Academy",1-AAA-TOP-UND-BES002-PUR-S,0
"American Academy",1-AAA-TOP-UND-BES002-PUR-SB,0
"American Academy",1-AAA-TOP-UND-BES002-PUR-XS,0
"American Academy",1-AAA-TOP-UND-BES002-PUR-XSB,0
"Samurai Sportswear",1-STK-2-620027-GRY-L,300
"Samurai Sportswear",1-STK-8-6200-RED/GRY,25
"Samurai Sportswear",1-STK-4-65180308-BLK-0,300
Accessories,1-STK-4-65180308-BLK-0,29
"Fat Lad At The Back",2-STK-JYSS-M-BALM-BLK-44,0
"Fat Lad At The Back",2-STK-JYSS-M-BALM-BLK-46,0
Cycling,2-STK-BSHT-M-STRI-BLU,4
"Fat Lad At The Back",2-STK-BSHT-M-STRI-BLU,1
"Fat Lad At The Back",2-STK-BSHT-M-STRI-BLU-38,0
"Fat Lad At The Back",2-STK-BSHT-M-STRI-BLU-40,0
"Fat Lad At The Back",2-STK-JYSS-M-BOBY-WHT-42,0
"Fat Lad At The Back",2-STK-JYSS-M-BOBY-WHT-44,0
"Fat Lad At The Back",2-STK-JYSS-M-BOBY-WHT-46,0
"Fat Lad At The Back",2-STK-JYSS-M-BOBY-WHT-47,0
"Fat Lad At The Back",2-STK-JYSS-M-BOBY-WHT-49,0
"Fat Lad At The Back",2-STK-JYSS-M-BOBY-WHT-52,0
Continental,4-STK-BOMBER-N60-BLK-M,0
Continental,4-STK-BOMBER-N60-GRY-XL,0
"Samurai Sportswear",1-STK-4-65180108-BLK-0,300
Accessories,1-STK-4-65180108-BLK-0,24
"Samurai Sportswear",1-STK-4-651280-BLK-0,56
Accessories,1-STK-4-651280-BLK-0,32
"Samurai Sportswear",1-STK-OSCRUM-BLK-5,34
Accessories,1-STK-OSCRUM-BLK-5,10
"Samurai Sportswear",1-STK-0-1200024-BLK/WHT,76
Leisurewear,1-STK-0-1200024-BLK/WHT,10
"Samurai Sportswear",1-STK-0-1200025-NVY/WHT,77
Leisurewear,1-STK-0-1200025-NVY/WHT,9
"Samurai Sportswear",1-STK-HOD-CLUB-BES-NVY,78
Leisurewear,1-STK-HOD-CLUB-BES-NVY,11
Leisurewear,1-STK-0-12000026-BLK/GRY,5
Leisurewear,1-STK-0-12000027-BLK/GRY,6
"Samurai Sportswear",1-STK-0-120030-BLK/GRY,13
"Training Vests",1-STK-0-120030-BLK/GRY-L,0
"Training Vests",1-STK-0-120030-BLK/GRY-XL,0
"Training Vests",1-STK-0-120030-BLK/GRY-2XL,0
"Training Vests",1-STK-0-120030-BLK/GRY-M,0
"Training Vests",1-STK-0-120030-BLK/GRY-S,0
Rugby,1-STK-0-120030-BLK/GRY,14
"Training Vests",1-STK-0-120030-BLK/GRY,0
"Training Vests",1-STK-0-120055-NVY/GRY-S,0
"Samurai Sportswear",1-STK-0-120028-WHT/GRY,12
Rugby,1-STK-0-120028-WHT/GRY,16
"Training Vests",1-STK-0-120028-WHT/GRY,0
"Training Vests",1-STK-0-120028-WHT/GRY-2XL,0
"Training Vests",1-STK-0-120028-WHT/GRY-L,0
"Training Vests",1-STK-0-120028-WHT/GRY-XL,0
"Samurai Sportswear",1-STK-8-614043-BLK,300
Leisurewear,1-STK-8-614043-BLK,20
"Samurai Sportswear",1-STK-8-614044-NVY,300
Leisurewear,1-STK-8-614044-NVY,21
Shorts,1-STK-8-614044-NVY-2XL,0
Shorts,1-STK-8-614044-NVY-L,0
Shorts,1-STK-8-614044-NVY-LB,0
Shorts,1-STK-8-614044-NVY-M,0
Shorts,1-STK-8-614044-NVY-S,0
Shorts,1-STK-8-614044-NVY-XS,0
Shorts,1-STK-8-614044-NVY,0
"Samurai Sportswear",1-STK-1-640015-WHT/RED-5,30
Balls,1-STK-1-640015-WHT/RED-5,0
"Samurai Sportswear",1-STK-3-6211014-BLK-0,40
Accessories,1-STK-3-6211014-BLK-0,22
Other,1-STK-3-6211014-BLK-0,0
"Samurai Sportswear",1-STK-SHO-CLI-BES-NVY/WHT,300
Leisurewear,1-STK-SHO-CLI-BES-NVY/WHT,25
Socks,1-STK-8-620001-NVY/GLD-L,0
Socks,1-STK-8-620001-NVY/GLD-M,0
Socks,1-STK-8-620001-NVY/GLD-S,0
Socks,1-STK-8-620001-NVY/GLD-XL,0
"Samurai Sportswear",1-STK-8-620001-NVY/GLD,24
Rugby,1-STK-8-620001-NVY/GLD,24
Socks,1-STK-8-620001-NVY/GLD,0
"Samurai Sportswear",1-STK-9-637001-BLK,36
Accessories,1-STK-9-637001-BLK,17
Top,1-SMP-9-638001-CRM-M,0
Top,1-SMP-9-638002-CRM-M,0
Top,1-STK-9-638002-CRM-L,0
Top,1-STK-9-638002-CRM-M,0
Top,1-STK-9-638002-CRM-S,0
Top,1-STK-9-638002-CRM-XL,0
Top,1-SMP-9-638002-CRM-L,0
Top,1-SMP-9-638002-CRM,0
"Samurai Sportswear",1-STK-9-638003,300
Cricket,1-STK-9-638003,3
Trousers,1-STK-9-638003,0
"Samurai Sportswear",1-STK-9-638003-CRM-S,300
Trousers,1-STK-9-638003-CRM-S,0
Trousers,1-STK-9-638003-CRM/MRN-L,0
"Schools & Clubs",1-DTR-VES-SUB-BES-RN-BLK,0
DesertTrailRunners,1-DTR-VES-SUB-BES-RN-BLK,2
"Schools & Clubs",1-DTR-TEE-SUB-BES-BLK,0
DesertTrailRunners,1-DTR-TEE-SUB-BES-BLK,3
"Samurai Sportswear",1-STK-RUG-SHO004-WHT,10
Rugby,1-STK-RUG-SHO004-WHT,11
Shorts,1-STK-RUG-SHO004-WHT,0
Netball,1-STK-NET-TOP003-NVY/FLG-16,0
"Top & Skorts",1-STK-NET-TOP003-NVY/FLG-16,0
Netball,1-STK-NET-TOP003-NVY/WHT-14,0
"Top & Skorts",1-STK-NET-TOP003-NVY/WHT-14,0
Netball,1-STK-NET-TOP003-WHT/NVY-14,0
"Top & Skorts",1-STK-NET-TOP003-WHT/NVY-14,0
"T-Shirts & Vests",1-STK-1005SAM,0
"Samurai Sportswear",1-STK-NET-SKO002-BLK/SKY,66
Netball,1-STK-NET-SKO002-BLK/SKY,10
Skorts,1-STK-NET-SKO002-BLK/SKY,0
"T-Shirts & Vests",1-STK-1006SAM,0
"Polo Shirts",1-STK-1004SAM,0
Cycling,2-STK-BSHT-M-EYUP-BLK,3
"Fat Lad At The Back",2-STK-BSHT-M-EYUP-BLK,2
Hoodies,1-STK-HOD-RED-BES-GRY-S,0
"Schools & Clubs",1-GCS-FOT-SHI-CUT001-GRN,0
GCS,1-GCS-FOT-SHI-CUT001-GRN,0
"Schools & Clubs",1-GCS-SHO-CLUB-BES-GRN,0
GCS,1-GCS-SHO-CLUB-BES-GRN,0
