product_name,product_sku,warehouse,qty_in_warehouse,shelf_location
"Corner Pole Protector",1-STK-2-891126-BLK-0,EAZY,0.0000,EAZY
"Gym Sack Black",1-STK-4-651791-BLK-0,EAZY,17.0000,EAZY
"Hooper Bag",1-STK-HOOPERBAG-BLK-0,EAZY,15.0000,EAZY
"Matchday Bag | Black/Grey",1-STK-4-65180508-BLK/GRY-0,EAZY,0.0000,EAZY
"Team Holdall",1-STK-4-65180708-BLK-0,EAZY,0.0000,EAZY
"Tote Bag",1-STK-4-651889-BLK-0,EAZY,1.0000,EAZY
"1Ltr Fluro Water Bottle",1-STK-3-621106-FLG-1LTR,J20,4.0000,"A 05 D 3 / A 10 B 1 / CUP BOARD"
"Pro Water Bottle 800ml",1-STK-3-6211022-CLR-800ML,J20,3.0000,"A 05 D 2"
"J20  Pro Water Bottle 800ml",1-STK-3-6211022-J20-CLR-800ML,J20,20.0000,"A 06 E 1/E2/ BOX - BALLS"
"Abu Dhabi Saracens Hoodie",1-ADS-0-1200024-BLK/WHT-XSB,J20,1.0000,"C 01 F"
"Abu Dhabi Saracens Vest",1-ADS-0-120028-WHT-XL,J20,1.0000,"C 01 F"
"Al Fardan Cargo Shorts",1-ALF-SHO-CAR-BES-CRM-3XL,J20,1.0000,"C 01 G"
"Al Fardan Cargo Shorts",1-ALF-SHO-CAR-BES-CRM-L,J20,1.0000,"C 01 G"
"Al Fardan Cargo Shorts",1-ALF-SHO-CAR-BES-CRM-M,J20,1.0000,"C 01 G"
"Al Fardan Jacket",1-ALF-JAC-TEC-BES-NVY-L,J20,1.0000,"C 01 G"
"Al Fardan Jacket",1-ALF-JAC-TEC-BES-NVY-M,J20,1.0000,"C 01 G"
"Al Fardan Jacket",1-ALF-JAC-TEC-BES-NVY-S,J20,1.0000,"C 01 G"
"Al Fardan Jacket",1-ALF-JAC-TEC-BES-NVY-XL,J20,1.0000,"C 01 G"
"Al Fardan Long Sleeve Tshirt",1-ALF-TEE-SUB-BES-LS-WHT-L,J20,1.0000,"C 01 G"
"Al Fardan Long Sleeve Tshirt",1-ALF-TEE-SUB-BES-LS-WHT-M,J20,1.0000,"C 02 A 1"
"Al Fardan Long Sleeve Tshirt",1-ALF-TEE-SUB-BES-LS-WHT-S,J20,1.0000,"C 01 G"
"Al Fardan Polo",1-ALF-POL-SUB-BES-WHT-L,J20,2.0000,"C 01 G"
"Al Fardan Polo",1-ALF-POL-SUB-BES-WHT-M,J20,1.0000,"C 01 G"
"Al Fardan Shorts Sleeve Tshirt",1-ALF-TEE-SUB-BES-WHT-L,J20,2.0000,"C 01 G"
"Al Fardan Shorts Sleeve Tshirt",1-ALF-TEE-SUB-BES-WHT-M,J20,2.0000,"C 01 G"
"Al Fardan Shorts Sleeve Tshirt",1-ALF-TEE-SUB-BES-WHT-XL,J20,1.0000,"C 01 G"
"All Element Trainer Rugby Ball Size 3",1-STK-1-640017-WHT-3,J20,8.0000,"BOX - BALLS"
"All Element Trainer Rugby Ball Size 4",1-STK-1-640018-WHT-4,J20,7.0000,"BOX - BALLS"
"American Academy Boys Swimming Jammer",1-AAA-SWI-JAM001-PUR-CHD,J20,2.0000,"BOX - AMERICAN ACADEMY"
"American Academy Boys Swimming Jammer",1-AAA-SWI-JAM001-PUR-JNR,J20,1.0000,"BOX - AMERICAN ACADEMY"
"American Academy Boys Swimming Jammer",1-AAA-SWI-JAM001-PUR-SB,J20,1.0000,"BOX - AMERICAN ACADEMY"
"American Academy Boys Swimming Jammer",1-AAA-SWI-JAM001-PUR-XSB,J20,3.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Kuro Shorts",1-AAA-HOC-SHO004-PUR-CHD,J20,1.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Kuro Shorts",1-AAA-HOC-SHO004-PUR-JNR,J20,2.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Kuro Shorts",1-AAA-HOC-SHO004-PUR-MG,J20,3.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Kuro Shorts",1-AAA-HOC-SHO004-PUR-SG,J20,3.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Kuro Shorts",1-AAA-HOC-SHO004-PUR-10,J20,2.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Kuro Shorts",1-AAA-HOC-SHO004-PUR-12,J20,1.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Kuro Shorts",1-AAA-HOC-SHO004-PUR-14,J20,1.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Kuro Shorts",1-AAA-HOC-SHO004-PUR-6,J20,2.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Kuro Shorts",1-AAA-HOC-SHO004-PUR-8,J20,2.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Kuro Shorts",1-AAA-HOC-SHO004-PUR-XSG,J20,3.0000,"BOX - AMERICAN ACADEMY / C 01 C 3"
"American Academy Ladies Long Sleeve Rash Vest",1-AAA-TOP-UND-BES001-PUR-M,J20,2.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Long Sleeve Rash Vest",1-AAA-TOP-UND-BES001-PUR-S,J20,4.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Long Sleeve Rash Vest",1-AAA-TOP-UND-BES001-PUR-XS,J20,3.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Pro Swim Suit",1-AAA-SWI-PRO001-PUR-CHD,J20,2.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Pro Swim Suit",1-AAA-SWI-PRO001-PUR-JNR,J20,2.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Pro Swim Suit",1-AAA-SWI-PRO001-PUR-MG,J20,2.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Pro Swim Suit",1-AAA-SWI-PRO001-PUR-SG,J20,2.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Pro Swim Suit",1-AAA-SWI-PRO001-PUR-XSC,J20,3.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Pro Swim Suit",1-AAA-SWI-PRO001-PUR-XSG,J20,2.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Race Suit",1-AAA-SWI-ONE001-BLK-MG,J20,2.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Race Suit",1-AAA-SWI-ONE001-BLK-12,J20,1.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Race Suit",1-AAA-SWI-ONE001-BLK-6,J20,1.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Race Suit",1-AAA-SWI-ONE001-BLK-8,J20,1.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Race Suit",1-AAA-SWI-ONE001-BLK-XSG,J20,1.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Short Sleeve Rash Vest",1-AAA-TOP-UND-BES002-PUR-M,J20,3.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Short Sleeve Rash Vest",1-AAA-TOP-UND-BES002-PUR-MB,J20,4.0000,"BOX - AMERICAN ACADEMY"
"American Academy Ladies Short Sleeve Rash Vest",1-AAA-TOP-UND-BES002-PUR-S,J20,4.0000,"BOX - AMERICAN ACADEMY"
