sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,total_qty,shelf_location,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,updated_time,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,configurable_variations,configurable_variation_labels,associated_skus
1-JES-POL-RED-BES-JHO-NVY,,Default,configurable,,base_migrated,JESS Health Officer Polo | Navy,,,1,1,Taxable Goods,Catalog,,,,,jess-health-officer-polo-navy,JESS Health Officer Polo | Navy,JESS Health Officer Polo | Navy,JESS Health Officer Polo | Navy ,,,,,,,,,"6/17/19, 12:06 PM","10/20/19, 12:11 PM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=NVY,webpos_visible=Yes",0,0,,0,1,0,0,1,1,1,10000,1,1,,1,1,1,1,0,1,0,0,2,2019-08-05 12:18:46,,,,,,,,,,,,,,,,,"sku=1-JES-POL-RED-BES-JHO-NVY-8,size=8,size=8|sku=1-JES-POL-RED-BES-JHO-NVY-10,size=10,size=10|sku=1-JES-POL-RED-BES-JHO-NVY-12,size=12,size=12|sku=1-JES-POL-RED-BES-JHO-NVY-16,size=16,size=16",size=Size,
1-WAK-FOT-SHI-SUB002-WHT-XSB,,Default,simple,,base_migrated,Boys Football Shirt | White/Royal Blue,,,1,1,Taxable Goods,Not Visible Individually,162.75,,,,boys-football-shirt-white-royal-blue,Boys Football Shirt | White/Royal Blue,Boys Football Shirt | White/Royal Blue,Boys Football Shirt | White/Royal Blue ,/f/b/fbsm_1.jpg,,/f/b/fbsm_1.jpg,,/f/b/fbsm_1.jpg,,,,"6/18/19, 1:02 PM","8/15/19, 1:53 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"color=WHT/RYB,product_brand=Samurai Sportswear,size=XSB,webpos_visible=No",0,0,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,2,2019-08-15 10:02:42,,,,,,,/f/b/fbsm_1.jpg,,,,,,,,,,,,
1-WAK-FOT-SHI-SUB002-WHT-SB,,Default,simple,,base_migrated,Boys Football Shirt | White/Royal Blue,,,1,1,Taxable Goods,Not Visible Individually,162.75,,,,boys-football-shirt-white-royal-blue,Boys Football Shirt | White/Royal Blue,Boys Football Shirt | White/Royal Blue,Boys Football Shirt | White/Royal Blue ,/f/b/fbsm_1_1.jpg,,/f/b/fbsm_1_1.jpg,,/f/b/fbsm_1_1.jpg,,,,"6/18/19, 1:02 PM","8/15/19, 1:53 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"color=WHT/RYB,product_brand=Samurai Sportswear,size=SB,webpos_visible=No",0,0,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,2,2019-08-15 10:02:43,,,,,,,/f/b/fbsm_1_1.jpg,,,,,,,,,,,,
1-WAK-FOT-SHI-SUB002-WHT-MB,,Default,simple,,base_migrated,Boys Football Shirt | White/Royal Blue,,,1,1,Taxable Goods,Not Visible Individually,162.75,,,,boys-football-shirt-white-royal-blue,Boys Football Shirt | White/Royal Blue,Boys Football Shirt | White/Royal Blue,Boys Football Shirt | White/Royal Blue ,/f/b/fbsm_1_2.jpg,,/f/b/fbsm_1_2.jpg,,/f/b/fbsm_1_2.jpg,,,,"6/18/19, 1:02 PM","8/15/19, 1:53 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"color=WHT/RYB,product_brand=Samurai Sportswear,size=MB,webpos_visible=No",0,0,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,2,2019-08-15 10:02:43,,,,,,,/f/b/fbsm_1_2.jpg,,,,,,,,,,,,
1-WAK-FOT-SHI-SUB002-WHT-LB,,Default,simple,,base_migrated,Boys Football Shirt | White/Royal Blue,,,1,1,Taxable Goods,Not Visible Individually,162.75,,,,boys-football-shirt-white-royal-blue,Boys Football Shirt | White/Royal Blue,Boys Football Shirt | White/Royal Blue,Boys Football Shirt | White/Royal Blue ,/f/b/fbsm_1_3.jpg,,/f/b/fbsm_1_3.jpg,,/f/b/fbsm_1_3.jpg,,,,"6/18/19, 1:02 PM","8/15/19, 1:53 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"color=WHT/RYB,product_brand=Samurai Sportswear,size=LB,webpos_visible=No",0,0,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,2,2019-08-15 10:02:43,,,,,,,/f/b/fbsm_1_3.jpg,,,,,,,,,,,,
1-WAK-FOT-SHI-SUB002-WHT-XS,,Default,simple,,base_migrated,Boys Football Shirt | White/Royal Blue,,,1,1,Taxable Goods,Not Visible Individually,183.75,,,,boys-football-shirt-white-royal-blue,Boys Football Shirt | White/Royal Blue,Boys Football Shirt | White/Royal Blue,Boys Football Shirt | White/Royal Blue ,/f/b/fbsm_1_4.jpg,,/f/b/fbsm_1_4.jpg,,/f/b/fbsm_1_4.jpg,,,,"6/18/19, 1:03 PM","8/15/19, 1:53 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"color=WHT/RYB,product_brand=Samurai Sportswear,size=XS,webpos_visible=No",0,0,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,2,2019-08-15 10:02:43,,,,,,,/f/b/fbsm_1_4.jpg,,,,,,,,,,,,
1-WAK-FOT-SHI-SUB002-WHT-S,,Default,simple,,base_migrated,Boys Football Shirt | White/Royal Blue,,,1,1,Taxable Goods,Not Visible Individually,183.75,,,,boys-football-shirt-white-royal-blue,Boys Football Shirt | White/Royal Blue,Boys Football Shirt | White/Royal Blue,Boys Football Shirt | White/Royal Blue ,/f/b/fbsm_1_5.jpg,,/f/b/fbsm_1_5.jpg,,/f/b/fbsm_1_5.jpg,,,,"6/18/19, 1:03 PM","8/15/19, 1:53 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"color=WHT/RYB,product_brand=Samurai Sportswear,size=S,webpos_visible=No",0,0,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,2,2019-08-15 10:02:43,,,,,,,/f/b/fbsm_1_5.jpg,,,,,,,,,,,,
1-WAK-FOT-SHI-SUB002-WHT-M,,Default,simple,,base_migrated,Boys Football Shirt | White/Royal Blue,,,1,1,Taxable Goods,Not Visible Individually,183.75,,,,boys-football-shirt-white-royal-blue,Boys Football Shirt | White/Royal Blue,Boys Football Shirt | White/Royal Blue,Boys Football Shirt | White/Royal Blue ,/f/b/fbsm_1_6.jpg,,/f/b/fbsm_1_6.jpg,,/f/b/fbsm_1_6.jpg,,,,"6/18/19, 1:03 PM","8/15/19, 1:53 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"color=WHT/RYB,product_brand=Samurai Sportswear,size=M,webpos_visible=No",0,0,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,2,2019-08-15 10:02:43,,,,,,,/f/b/fbsm_1_6.jpg,,,,,,,,,,,,
1-WAK-FOT-SHI-SUB002-WHT,,Default,configurable,,base_migrated,Boys Football Shirt | White/Royal Blue,,,1,1,Taxable Goods,Catalog,,,,,boys-football-shirt-white-royal-blue,Boys Football Shirt | White/Royal Blue,Boys Football Shirt | White/Royal Blue,Boys Football Shirt | White/Royal Blue ,/f/b/fbsm.jpg,,/f/b/fbsm.jpg,,/f/b/fbsm.jpg,,/f/b/fbsm.jpg,,"6/18/19, 1:03 PM","8/26/19, 10:56 AM",,,Block after Info Column,,,,Use config,,,,,,,Use config,,"color=WHT/RYB,product_brand=Samurai Sportswear,webpos_visible=Yes",0,0,,0,1,0,0,1,1,1,0,1,1,,1,0,1,1,0,1,0,0,2,2019-06-24 10:49:56,,,,,,,/f/b/fbsm.jpg,,,,,,,,,,"sku=1-WAK-FOT-SHI-SUB002-WHT-XSB,size=XSB,size=XSB|sku=1-WAK-FOT-SHI-SUB002-WHT-SB,size=SB,size=SB|sku=1-WAK-FOT-SHI-SUB002-WHT-MB,size=MB,size=MB|sku=1-WAK-FOT-SHI-SUB002-WHT-LB,size=LB,size=LB|sku=1-WAK-FOT-SHI-SUB002-WHT-XS,size=XS,size=XS|sku=1-WAK-FOT-SHI-SUB002-WHT-S,size=S,size=S|sku=1-WAK-FOT-SHI-SUB002-WHT-M,size=M,size=M",size=Size,
1-WAK-FOT-SHI-GK002B-YLW-SB,,Default,simple,,base_migrated,Goalkeeper Shirt | Boys,,,1,1,Taxable Goods,Not Visible Individually,207.9,,,,goalkeeper-shirt-boys,Goalkeeper Shirt | Boys,Goalkeeper Shirt | Boys,Goalkeeper Shirt | Boys ,/g/k/gkm_1.jpg,,/g/k/gkm_1.jpg,,/g/k/gkm_1.jpg,,,,"6/18/19, 1:14 PM","8/15/19, 1:53 PM",,,Block after Info Column,,,,No,,,,,,,Use config,,"color=YLW,product_brand=Samurai Sportswear,size=SB,webpos_visible=No",0,0,,0,1,0,0,1,1,1,0,1,0,,1,0,1,1,0,1,0,0,2,2019-08-15 10:02:45,,,,,,,/g/k/gkm_1.jpg,,,,,,,,,,,,
